City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,labrador city,52.9463,-66.9114,286.1,62,100,5.66,CA,1722875964
84,talnakh,69.4865,88.3972,282.57,64,0,2.08,RU,1722876347
85,haiku-pauwela,20.9219,-156.3051,295.51,82,97,3.13,US,1722876348
86,ak-suu,42.4995,78.527,290.56,67,100,0.95,KG,1722876349
87,remire-montjoly,4.9167,-52.2667,306.17,55,40,5.14,GF,1722876350
88,lerwick,60.1545,-1.1494,288.15,98,100,5.89,GB,1722876351
89,touros,-5.1989,-35.4608,300.66,63,30,8.34,BR,1722876352
90,saldanha,-33.0117,17.9442,286.18,76,4,4.41,ZA,1722875923
91,thompson,55.7435,-97.8558,292.24,45,20,4.12,CA,1722876355
92,hamilton,39.1834,-84.5333,305.97,59,0,2.57,US,1722875662
93,yellowknife,62.456,-114.3525,291.71,70,75,4.12,CA,1722876358
94,hollabrunn,48.55,16.0833,295.94,49,88,2.68,AT,1722876359
95,pommelsbrunn,49.5044,11.511,296.73,61,78,1.2,DE,1722876361
96,port hedland,-20.3167,118.5667,289.18,67,16,2.57,AU,1722876362
97,malango,-2.9627,119.9001,291.31,99,38,1.05,ID,1722876363
98,walvis bay,-22.9575,14.5053,287.64,77,5,5.62,NA,1722876364
99,leninskoye,41.7589,69.3864,300.95,20,2,6.83,KZ,1722876074
100,heroica guaymas,27.9333,-110.9,305.8,66,75,0.0,MX,1722876366
101,aykhal,66.0,111.5,280.74,87,13,7.31,RU,1722876369
102,emmett,43.8735,-116.4993,306.64,21,0,1.77,US,1722876370
103,al jawf,29.5,38.75,306.61,12,0,5.19,SA,1722876371
104,sogndal,61.2283,7.1003,297.36,46,75,2.06,NO,1722876372
105,iqaluit,63.7506,-68.5145,280.0,93,100,1.54,CA,1722876373
106,kyren,51.6828,102.1408,288.43,92,97,0.95,RU,1722875849
107,port sudan,19.6175,37.2164,309.07,49,74,5.01,SD,1722876375
108,queenstown,-31.8976,26.8753,283.15,23,0,2.45,ZA,1722876377
109,darwin,-12.4611,130.8418,296.14,88,100,1.54,AU,1722876267
110,labytnangi,66.6572,66.4183,283.14,60,99,5.98,RU,1722876379
111,saipan,15.1355,145.701,300.54,89,0,2.06,MP,1722876380
112,wailua homesteads,22.0669,-159.378,297.39,81,0,8.75,US,1722876381
113,ilulissat,69.2167,-51.1,282.16,71,20,2.06,GL,1722876382
114,karema,-6.8205,30.4389,296.68,49,1,0.96,TZ,1722876384
115,dudinka,69.4058,86.1778,282.23,64,1,8.38,RU,1722876385
116,bethel,41.3712,-73.414,304.01,59,0,0.89,US,1722876386
117,colonia,50.9333,6.95,301.46,46,16,2.63,DE,1722875805
118,bereznik,62.8551,42.7072,289.22,80,98,2.09,RU,1722875813
119,nouadhibou,20.931,-17.0347,298.14,78,3,8.23,MR,1722876075
120,oleksandrivka,48.9634,32.2349,296.63,34,25,2.74,UA,1722876390
121,dunedin,-45.8742,170.5036,278.04,90,29,2.46,NZ,1722876371
122,bredasdorp,-34.5322,20.0403,283.03,80,13,3.14,ZA,1722876393
123,aginskoye,51.1,114.53,290.03,63,41,1.34,RU,1722876394
124,mankato,44.1636,-93.9994,296.7,88,100,6.69,US,1722876358
125,tiksi,71.6872,128.8694,283.44,90,99,2.93,RU,1722876396
126,quang ngai,15.1167,108.8,297.62,91,46,1.74,VN,1722876397
127,anadyr,64.75,177.4833,274.43,100,75,4.0,RU,1722876398
128,san patricio,28.017,-97.5169,305.88,49,0,1.77,US,1722876401
129,martapura,-3.4167,114.85,299.2,89,100,0.51,ID,1722876402
130,olonkinbyen,70.9221,-8.7187,279.77,95,96,2.67,SJ,1722876403
131,rawson,-43.3002,-65.1023,284.09,61,100,3.33,AR,1722876404
132,luderitz,-26.6481,15.1594,287.22,64,0,8.55,NA,1722876405
133,baldwinsville,43.1587,-76.3327,301.8,74,75,2.06,US,1722876406
134,lazaro cardenas,17.9583,-102.2,302.5,68,100,1.83,MX,1722875863
135,murzuq,25.9155,13.9184,312.51,9,0,4.54,LY,1722876409
136,puerto ayora,-0.7393,-90.3518,297.13,78,76,5.19,EC,1722876410
137,nizhniy ingash,56.2,96.53,289.6,87,95,1.14,RU,1722876411
138,saint-philippe,-21.3585,55.7679,293.92,75,56,2.6,RE,1722876412
139,cedeira,43.6797,-8.0209,297.06,84,7,3.51,ES,1722876413
140,villa gesell,-37.2639,-56.973,288.18,73,100,6.23,AR,1722876415
141,mejit,10.2753,170.8646,301.51,79,100,6.81,MH,1722876416
142,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,100,100,1.0,RU,1722876417
143,qaisumah,28.3112,46.1273,313.13,9,0,5.14,SA,1722876418
144,sisimiut,66.9395,-53.6735,281.35,74,81,2.38,GL,1722875922
145,pangody,65.85,74.4859,284.44,60,100,5.41,RU,1722876420
146,port alfred,-33.5906,26.891,286.03,71,1,1.34,ZA,1722876421
147,saudarkrokur,65.7461,-19.6394,285.32,84,91,4.06,IS,1722875933
148,pangai,-19.8,-174.35,295.49,63,10,7.55,TO,1722876424
149,acarau,-2.8856,-40.12,304.53,50,72,8.45,BR,1722876425
150,gonabad,34.3529,58.6837,305.37,15,2,7.55,IR,1722876426
151,rio gallegos,-51.6226,-69.2181,275.18,64,20,5.14,AR,1722876124
152,nizhneudinsk,54.9076,99.0276,288.8,92,90,1.48,RU,1722876428
153,port elizabeth,-33.918,25.5701,287.21,63,3,2.68,ZA,1722876270
154,maues,-3.3836,-57.7186,311.21,21,6,2.69,BR,1722876431
